id,text,label
1,Bu akşam TV yayınındaki spikeri bile duymakta zorlandığımız büyük Galatasaray taraftarının müthiş desteğini bir emojiyle anlat. ,0
2,Felipe Melo'nun Alvaro Morata'nın golü sonrası aldığı keyif,0
3,"Büyük Kaptan Fernando Muslera: ""Başarısız olduğum anlar olduysa eğer onlar için özür dilerim. Bu kulüpte bu kadar vakit geçirdiğim için çok mutlu ve gururluyum.""",0
4,OĞLUM 1 PUANA 5. YILDIZ GELİYOR LAN,0
5,İki net fırsatı arka arkaya çıkaran Muslera = Sahibine son kez selektör atan BMW.,0
6,bunları mallığını çok hafife alıyoruz biz.,0
7,Gs tribünü zıpla zıpla zıplamayan fenerli tezahüratı yapınca bütün trabzonlular ayağa kalktı amk fener nefretleri her seferinde kopartıyor shahshshsh,0
8,Mesela sadece TOP OYNADIĞI İÇİN 20 yaşındaki birinden ŞUNU UNUTMAYIN diye nasihat alabiliyoruz.,0
9,da vinci şifresi gibi pankart,0
10,Bundan rahatsız olmayan katıksız vatan hainidir. Şehitlerimizin kemikleri sızlıyor.,0
11,Ortada hiçbir şey yokken arabada sağlam şarkıya denk gelince bizdir maalesef,0
12,OSİMHEN BU NE AMK HAYVAN MISIN,0
13,Kalan 3 maçta sadece ve sadece 1 puana ihtiyacımız var hala rehavete kapılmayın yazanlar var nasıl yenicen ki yenemezsin aq.,0
14,kadıköy final boss,0
15,"Kütahya'da, 1 yıldır kayıp olan Nagihan Uyğur'un, dayısı tarafından cinsel istismara uğradığı, ardından öldürülüp birlikte oturdukları evin girişindeki kuyuya atıldığı ortaya çıktı.",0
16,Sokak fotocuları neden böyle,0
17,"Kemal Kılıçdaroğlu: “Terör örgütünün şartsız silah bırakıp kendisini feshetmesi; Türkiye Cumhuriyeti’nin sarsılmaz üniter yapısının korunması, toplumumuzun kardeşlik bağlarının daha da güçlenmesi ve ülkemizde kalıcı barış ile huzurun sağlanması adına tarihî bir adım olacaktır.”",0
18,Erdoğan'dan 'PKK kongresi' sonrası ilk açıklama 'Her an müjdeleri alabilirsiniz...',0
19,"Avrupalı liderler Putin'i '30 günlük ateşkesi' kabul etmeye çağırdı ""Burada hepimiz, ABD ile birlikte Putin'e sesleniyoruz. Eğer barış konusunda ciddiyse bunu şimdi gösterme şansı var.""",0
20,Unutulmaz Gollerde Bugün; Tümer Metin’in AZ Alkmaar kalesine yolladığı 2 efsane füze.,0
21,"Okan Buruk: Bu sene 3, gelecek sene de 4 inşallah",0
22,Deve işini iyi biliyor,0
23,Selçuk İnan’a yapılan hainlik,0
24,CHP’li Zeliha Aksaz Şahbaz: 'Toplumun ruhsal sağlığı ağır bir çöküntü içerisindedir',0
